Date,Israeli_Lines_MWs,Gaza_Power_Plant_MWs,Egyptian_Lines_MWs,Total_daily_Supply_available_in_MWs,Overall_demand_in_MWs,Power_Cuts_hours_day_400mg,Temp
1/1/2017,120,45,0,165,450,8,11
1/2/2017,120,45,0,165,450,8,11
1/3/2017,120,50,0,170,450,9,11
1/4/2017,120,50,0,170,450,9,10
1/5/2017,120,50,0,170,450,9,10
1/6/2017,120,50,0,170,450,9,12
1/7/2017,120,27,0,147,450,7,13
1/8/2017,120,27,0,147,450,7,13
1/9/2017,120,50,10,180,450,9,14
1/10/2017,120,50,0,170,450,9,14
1/11/2017,108,50,0,158,450,8,14
1/12/2017,120,45,0,165,450,8,14
1/13/2017,120,45,0,165,450,8,13
1/14/2017,120,45,0,165,450,8,13
1/15/2017,120,45,0,165,450,8,13
1/16/2017,120,50,0,170,450,9,13
1/17/2017,120,50,0,170,450,9,12
1/18/2017,120,50,0,170,450,9,11
1/19/2017,120,80,0,200,450,10,11
1/20/2017,120,80,0,200,450,10,14
1/21/2017,120,80,20,220,450,11,15
1/22/2017,120,80,20,220,450,11,15.5
1/23/2017,120,80,20,220,450,11,14
1/24/2017,120,80,20,220,450,11,14
1/25/2017,120,80,20,220,450,11,13
1/26/2017,120,80,20,220,450,11,11
1/27/2017,120,80,20,220,450,11,11
1/28/2017,120,80,20,220,450,11,13
1/29/2017,120,80,10,210,450,11,13
1/30/2017,120,80,10,210,450,11,14
1/31/2017,120,80,10,210,450,11,14
2/1/2017,120,80,10,210,450,11,14
2/2/2017,120,80,10,210,450,11,14
2/3/2017,120,80,10,210,450,11,16
2/4/2017,120,80,20,220,450,11,16
2/5/2017,120,80,20,220,450,11,17
2/6/2017,120,80,20,220,450,11,17
2/7/2017,120,80,20,220,450,11,15
2/8/2017,120,80,10,210,450,11,16
2/9/2017,120,80,10,210,450,11,17
2/10/2017,120,80,10,210,450,11,16
2/11/2017,120,55,20,195,450,10,16
2/12/2017,120,55,20,195,450,10,17
2/13/2017,120,55,20,195,450,10,16
2/14/2017,120,55,20,195,450,10,16
2/15/2017,120,55,20,195,450,10,16
2/16/2017,120,55,0,175,450,9,17
2/17/2017,120,55,0,175,450,9,10
2/18/2017,120,67,0,187,450,9,16
2/19/2017,120,65,0,185,450,9,15
2/20/2017,120,65,0,185,450,9,17
2/21/2017,120,55,0,175,450,9,16
2/22/2017,120,55,0,175,450,9,17
2/23/2017,120,55,20,195,450,10,18
2/24/2017,120,55,20,195,450,10,18
2/25/2017,120,55,20,195,450,10,17
2/26/2017,108,55,20,183,450,9,20
2/27/2017,108,55,20,183,450,9,19
2/28/2017,120,55,20,195,450,10,19
3/1/2017,120,55,20,195,450,10,19
3/2/2017,120,74,0,194,450,10,17
3/3/2017,120,74,0,194,450,10,21
3/4/2017,120,74,0,194,450,10,24
3/5/2017,120,70,0,190,450,10,21
3/6/2017,120,70,0,190,450,10,20
3/7/2017,120,70,0,190,450,10,20
3/8/2017,120,53,10,183,450,9,21
3/9/2017,120,53,20,193,450,10,21
3/10/2017,120,53,20,193,450,10,20
3/11/2017,120,53,20,193,450,10,19
3/12/2017,120,53,20,193,450,10,19
3/13/2017,120,53,20,193,450,10,20
3/14/2017,120,50,20,190,450,10,20
3/15/2017,120,50,20,190,450,10,19
3/16/2017,96,51,20,167,450,8,19
3/17/2017,96,51,20,167,450,8,18
3/18/2017,120,50,20,190,450,10,20
3/19/2017,120,50,20,190,450,10,20
3/20/2017,120,50,20,190,450,10,21
3/21/2017,120,50,0,170,450,9,20
3/22/2017,120,50,0,170,450,9,23
3/23/2017,120,50,0,170,450,9,27
3/24/2017,120,50,0,170,450,9,21
3/25/2017,108,50,0,158,450,8,20
3/26/2017,120,50,0,170,450,9,21
3/27/2017,120,50,0,170,450,9,21
3/28/2017,120,50,0,170,450,9,22
3/29/2017,120,50,0,170,450,9,21
3/30/2017,120,50,0,170,450,9,22
3/31/2017,120,50,0,170,450,9,20
4/1/2017,120,50,0,170,450,9,20
4/2/2017,120,50,0,170,450,9,20
4/3/2017,120,50,10,180,450,9,18
4/4/2017,120,50,10,180,450,9,19
4/5/2017,120,50,10,180,450,9,21
4/6/2017,120,50,13,183,450,9,20
4/7/2017,120,50,13,183,450,9,21
4/8/2017,120,50,0,170,450,9,22
4/9/2017,120,50,0,170,450,9,21
4/10/2017,120,50,0,170,450,9,22
4/11/2017,120,30,23,173,450,9,20
4/12/2017,120,30,23,173,450,9,21
4/13/2017,120,23,23,166,450,8,22
4/14/2017,120,23,23,166,450,8,20
